Title ID,游戏名称,游戏中文名称,发布日期,支持中文,nswdb ID,最新版本,DLC数量,,
0100000000010000,Super Mario Odyssey™,超级马里奥 奥德赛,20171027,中文,0278,262144,/,,
010000000EEF0000,Shadows 2: Perfidia,暗影2：背叛,20190806,,,65536,/,,
0100000011D90000,Pokémon™ Brilliant Diamond,宝可梦 晶灿钻石,20211119,中文,2348,393216,/,,
010000001260E000,KIDS: FARM COLORING,儿童系列：农场染色,20200820,中文,,0,/,,
01000000160F6000,Bouncy Bullets 2,弹性子弹2,20211008,,,65536,/,,
010000100C4B8000,Jamestown+,詹姆斯敦,20191212,,,196608,/,,
010000100FB62000,Willy Jetman: Astromonkey's Revenge,威利杰特曼：猴子宇航员的复仇,20200131,,,65536,/,,
0100001017216000,Labyrinth of Galleria: The Moon Society,加雷利亚的地下迷宫与魔女旅团,20230214,,2768,65536,3,,
0100001017FD6000,Dragon Caffi,龙卡菲,20220421,,,327680,/,,
010000300B4EE000,STUMP,树桩,20181123,,,0,/,,
010000300C79C000,GensokyoDefenders,永远消失的幻想乡,20181129,中文,,458752,1,,
010000301025A000,Worlds of Magic: Planar Conquest,魔法世界：征服普兰纳,20200124,,,0,/,,
01000030146BE000,Animal Bomber,动物轰炸机,20210306,,,65536,/,,
01000030151B0000,Lost Lands: Ice Spell,失落领地5：冰雪魔咒,20210524,,,0,/,,
01000040098E4000,Layers of Fear: Legacy (レイヤーズ・オブ・フィアー：レガシー),层层恐惧：遗产,20180329,中文,,0,/,,
010000400F582000,TT Isle of Man Ride on the Edge 2,曼岛TT摩托车大赛 边缘竞速2,20200514,中文,,65536,2,,
010000401313A000,Demong Hunter,得猛猎人,20201029,中文,,262144,/,,
0100004017E54000,Run Box Run,盒子快跑,20221103,,,65536,/,,
0100005006BA4000,The Keep,城堡,20181220,,,0,/,,
010000500B9F4000,Minesweeper Genius,扫雷天才,20190212,中文,,65536,/,,
010000500DB50000,Super Tennis Blast,超级爆裂网球,20190524,,,262144,/,,
0100005018A96000,Archery Escape,射箭逃生,20220625,,,0,/,,
01000060085D2000,A Hole New World,空洞新世界,20180404,,,131072,/,,
010000600CD54000,Rad Rodgers Radical Edition,拉德罗杰斯 激进版,20190226,中文,1242,131072,/,,
0100006013A4A000,Shinobi Blade,忍者之刃,20210119,,,0,/,,
010000700A572000,State of Anarchy: Master of Mayhem,无政府国度：混乱大师,20180801,,0928,65536,/,,
010000700F292000,Arcade Archives THE TIN STAR,街机档案：锡星,20200402,,,0,/,,
0100008011882000,天穂のサクナヒメ,天穗之咲稻姬,20201112,中文,,589824,/,,
0100008013FF4000,スペース・ウォー・アリーナ,太空战斗竞技场,20210325,中文,,0,/,,
010000900F710000,Treehouse Riddle,树屋之谜,20220818,中文,,0,/,,
0100009013566000,There Is No Game: Wrong Dimension,这里没有游戏：破碎维度,20210414,中文,2864,262144,/,,
010000A00CA78000,Chalk Dash Carnival,粉笔冲刺嘉年华,20181114,,,131072,/,,
010000A014E5A000,Rally Racer: Offroad Racing Car Game,拉力赛车：越野赛车游戏,20210626,,,0,/,,
010000B00D800000,The Church in the Darkness,黑暗中的教堂,20190802,,,327680,/,,
